t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
56.800000000000004,5.0,3.704211019887716,3.7344658385218668,4.823257635063977,3.704211019887716,channel
56.900000000000006,5.0,3.7041280185625336,3.7202403891488327,4.821747774560851,3.7041280185625336,channel
57.0,5.0,3.7040466458448473,3.706097605115549,4.820209019269403,3.7040466458448473,channel
57.1,5.0,3.703966870067527,3.692041148091121,4.818640848394711,3.692041148091121,causal-boundary
57.2,5.0,3.703888660167921,3.678074581574078,4.817042733031531,3.678074581574078,causal-boundary
57.300000000000004,5.0,3.7038119856767593,3.6642013678294374,4.815414136089572,3.6642013678294374,causal-boundary
57.400000000000006,5.0,3.7037368167072406,3.65042486505809,4.81375451222038,3.65042486505809,causal-boundary
57.5,5.0,3.7036631239443065,3.63674832480147,4.812063307745931,3.63674832480147,causal-boundary
57.6,5.0,3.7035908786340945,3.623174889583603,4.810339960589092,3.623174889583603,causal-boundary
57.7,5.0,3.7035200525735728,3.6097075907918015,4.8085839002060675,3.6097075907918015,causal-boundary
57.800000000000004,5.0,3.703450618100348,3.5963493467964005,4.806794547520998,3.5963493467964005,causal-boundary
57.900000000000006,5.0,3.7033825480826508,3.583102961309148,4.804971314862831,3.583102961309148,causal-boundary
58.0,5.0,3.7033158159094923,3.569971121979057,4.803113605904649,3.569971121979057,causal-boundary
58.1,5.0,3.7032503954809886,3.556956399223766,4.801220815605592,3.556956399223766,causal-boundary
58.2,5.0,3.703186261198852,3.5440612452937295,4.799292330155553,3.5440612452937295,causal-boundary
58.300000000000004,5.0,3.70312338795705,3.5312879935658428,4.797327526922812,3.5312879935658428,causal-boundary
58.400000000000006,5.0,3.703061751132626,3.518638858062464,4.79532577440479,3.518638858062464,causal-boundary
58.5,5.0,3.703001326576672,3.5061159331911727,4.793286432182092,3.5061159331911727,causal-boundary
58.6,5.0,3.702942090605475,3.49372119369999,4.791208850876055,3.49372119369999,causal-boundary
58.7,5.0,3.7028840199918016,3.4814564948422957,4.789092372109969,3.4814564948422957,causal-boundary
58.800000000000004,5.0,3.7028270919563466,3.469323572745128,4.786936328474183,3.469323572745128,causal-boundary
58.900000000000006,5.0,3.7027712841593297,3.4573240449741296,4.7847400434953045,3.4573240449741296,causal-boundary
59.0,5.0,3.7027165746922375,3.445459411287988,4.782502831609707,3.445459411287988,causal-boundary
59.1,5.0,3.7026629420697166,3.433731054574843,4.780223998141559,3.433731054574843,causal-boundary
59.2,5.0,3.702610365221606,3.42214024196283,4.777902839285601,3.42214024196283,causal-boundary
59.300000000000004,5.0,3.7025588234851146,3.410688126096633,4.775538642094912,3.410688126096633,causal-boundary
59.400000000000006,5.0,3.7025082965971383,3.399375746571717,4.773130684473899,3.399375746571717,causal-boundary
59.5,5.0,3.70245876468671,3.388204031517692,4.770678235176742,3.388204031517692,causal-boundary
59.6,5.0,3.702410208267592,3.377173799322133,4.768180553811576,3.377173799322133,causal-boundary
59.7,5.0,3.7023626082309944,3.366285760486081,4.76563689085064,3.366285760486081,causal-boundary
59.800000000000004,5.0,3.7023159458384294,3.355540519602357,4.763046487646669,3.355540519602357,causal-boundary
59.900000000000006,5.0,3.7022702027146925,3.344938577447827,4.760408576455806,3.344938577447827,causal-boundary
60.0,5.0,3.702225360840971,3.3344803331807413,4.7577223804673,3.3344803331807413,causal-boundary
60.1,5.0,3.7021814025480766,3.3241660866343223,4.754987113840285,3.3241660866343223,causal-boundary
60.2,5.0,3.7021383105098007,3.3139960406978592,4.752201981747921,3.3139960406978592,causal-boundary
60.300000000000004,5.0,3.7020960677363925,3.3039703037766457,4.749366180429201,3.3039703037766457,causal-boundary
60.400000000000006,5.0,3.7020546575681528,3.2940888923222733,4.746478897248725,3.2940888923222733,causal-boundary
60.5,5.0,3.702014063669149,3.2843517334249093,4.743539310764747,3.2843517334249093,causal-boundary
60.6,5.0,3.7019742700210383,3.2747586674594036,4.740546590805809,3.2747586674594036,causal-boundary
60.7,5.0,3.7019352609170104,3.2653094507772633,4.737499898556292,3.2653094507772633,causal-boundary
60.800000000000004,5.0,3.701897020955839,3.2560037584367505,4.734398386651197,3.2560037584367505,causal-boundary
60.900000000000006,5.0,3.701859535036041,3.2468411869636196,4.731241199280498,3.2468411869636196,causal-boundary
61.0,5.0,3.701822788350145,3.237821257135255,4.728027472303394,3.237821257135255,causal-boundary
61.1,5.0,3.701786766379065,3.2289434167812407,4.724756333372811,3.2289434167812407,causal-boundary
61.2,5.0,3.701751454886577,3.220207043593695,4.721426902070496,3.220207043593695,causal-boundary
61.300000000000004,5.0,3.7017168399139004,3.211611447940961,4.718038290053044,3.211611447940961,causal-boundary
61.400000000000006,5.0,3.701682907774376,3.20315587567858,4.7145896012092345,3.20315587567858,causal-boundary
61.5,5.0,3.701649645048244,3.194839510951751,4.711079931829011,3.194839510951751,causal-boundary
61.6,5.0,3.701617038577521,3.1866614789838046,4.7075083707844785,3.1866614789838046,causal-boundary
61.7,5.0,3.7015850754609696,3.178620848845527,4.703873999723283,3.178620848845527,causal-boundary
61.800000000000004,5.0,3.7015537430491636,3.1707166362004826,4.700175893274729,3.1707166362004826,causal-boundary
61.900000000000006,5.0,3.7015230289396417,3.1629478060217777,4.696413119269017,3.1629478060217777,causal-boundary
62.0,5.0,3.701492920972157,3.1553132752760544,4.69258473896996,3.1553132752760544,causal-boundary
62.1,5.0,3.70146340722401,3.1478119155707747,4.688689807321549,3.1478119155707747,causal-boundary
62.2,5.0,3.701434476005473,3.1404425557611706,4.684727373208746,3.1404425557611706,causal-boundary
62.300000000000004,5.0,3.7014061158552964,3.133203984513537,4.680696479732865,3.133203984513537,causal-boundary
62.400000000000006,5.0,3.701378315536303,3.1260949528218256,4.676596164501916,3.1260949528218256,causal-boundary
